BMI_CLASS,UNIT_NUM,STUB_NAME_NUM,STUB_LABEL_NUM,YEAR_NUM,AGE_NUM,ESTIMATE,SE,FLAG
1,2,6,6.13,9,1.3,18.5,1.8,0
1,2,6,6.13,10,1.3,16.2,1.9,1
1,2,6,6.14,1,1.4,28.6,2.1,0
1,2,6,6.14,2,1.4,23.8,2.0,0
1,2,6,6.14,3,1.4,22.2,2.3,0
1,2,6,6.14,4,1.4,19.3,2.2,0
1,2,6,6.14,5,1.4,18.5,1.9,0
1,2,6,6.14,6,1.4,19.4,2.2,0
1,2,6,6.14,7,1.4,21.9,1.9,0
1,2,6,6.14,8,1.4,22.7,1.4,0
1,2,6,6.14,9,1.4,22.3,2.0,0
1,2,6,6.14,10,1.4,21.5,2.6,1
1,2,6,6.15,1,1.5,30.1,2.2,0
1,2,6,6.15,2,1.5,22.8,1.8,0
1,2,6,6.15,3,1.5,23.1,1.9,0
1,2,6,6.15,4,1.5,21.2,1.9,0
1,2,6,6.15,5,1.5,20.2,1.8,0
1,2,6,6.15,6,1.5,21.6,2.0,0
1,2,6,6.15,7,1.5,22.4,2.2,0
1,2,6,6.15,8,1.5,22.2,2.2,0
1,2,6,6.15,9,1.5,19.3,2.5,0
1,2,6,6.15,10,1.5,15.6,2.4,1
1,2,6,6.16,1,1.6,40.9,1.9,0
1,2,6,6.16,2,1.6,32.0,2.2,0
1,2,6,6.16,3,1.6,32.1,2.1,0
1,2,6,6.16,4,1.6,33.1,1.9,0
1,2,6,6.16,5,1.6,28.1,2.6,0
1,2,6,6.16,6,1.6,25.4,2.4,0
1,2,6,6.16,7,1.6,28.2,2.1,0
1,2,6,6.16,8,1.6,28.1,2.4,0
1,2,6,6.16,9,1.6,24.3,2.4,0
1,2,6,6.16,10,1.6,24.7,2.4,1
1,2,6,6.21,1,1.1,57.9,1.3,0
1,2,6,6.21,2,1.1,42.5,1.9,0
1,2,6,6.21,3,1.1,44.2,1.8,0
1,2,6,6.21,4,1.1,45.1,1.7,0
1,2,6,6.21,5,1.1,40.5,1.8,0
1,2,6,6.21,6,1.1,41.1,2.1,0
1,2,6,6.21,7,1.1,40.8,2.3,0
1,2,6,6.21,8,1.1,38.1,2.2,0
1,2,6,6.21,9,1.1,37.5,1.9,0
1,2,6,6.21,10,1.1,36.6,2.2,1
1,2,6,6.22,1,1.2,47.1,2.5,0
1,2,6,6.22,2,1.2,37.1,2.3,0
1,2,6,6.22,3,1.2,38.3,1.8,0
1,2,6,6.22,4,1.2,37.6,2.4,0
1,2,6,6.22,5,1.2,36.2,2.2,0
1,2,6,6.22,6,1.2,34.4,1.9,0
